,War or conflict,Start date,End date,Duration
114,Chadian Civil Wars,1965,2010,45 years
115,Kongo Civil War,1665,1709,44 years
116,Cold War (Indirect War),1947,1991,44 years
117,Afghanistan conflict,27 April 1978,Ongoing,44 years and 4 weeks[citation needed]
118,Kurdish–Turkish conflict (1978–present),27 November 1978,Ongoing,"43 years, 5 months and 4 weeks"
119,Assam separatist movements,1979,Ongoing,43 years
120,Sino-Dutch conflicts,1620,1662,42 years
121,Internal conflict in Peru,17 May 1980,Ongoing,"42 years, 1 week and 1 day"
122,Maoist insurgency in Turkey,12 September 1980,Ongoing,"41 years, 8 months, 1 week and 6 days"
123,Thirty-Eight Years' War,770,811,41 years[citation needed]
124,Umayyad invasion of Gaul,719,759,40 years
125,Spanish conquest of the Inca Empire,1532,1572,40 years
126,Chichimeca War,1550,1590,40 years
127,Polish–Czechoslovak border conflicts,1918,1958,40 years
128,Comanche Wars,1836,1875,39 years
129,Bab al-Tabbaneh–Jabal Mohsen conflict,1976,2015,39 years
130,Guatemalan Civil War,13 November 1960,29 December 1996,"36 years, 1 month, 2 weeks and 2 days[9]"
131,French Wars of Religion,1562,1598,36 years
132,Banana Wars,1898,1934,36 years
133,Anglo-Powhatan Wars,1610,1646,36 years
134,Holy Man's Rebellion,1901,1936,35 years
135,Ayutthaya-Lan Na War,1441,1474,33 years
136,Wars of the Roses,1455,1487,32 years[10]
137,First War of Scottish Independence,1296,1328,32 years[11]
138,Casamance conflict,1982,2014,32 years
139,Anglo-Mysore Wars,1767,1799,32 years
140,Libyan resistance movement,1911,1943,32 years
141,Second Viking invasion of the British Isles,980,1012,32 years
142,Insurgency in Laos,3 December 1975,2008,32 years
143,Aceh War,1873,1904,31 years[12]
144,Āfāqī Khoja Holy War,1826,1857,31 years
145,The Troubles,1968,1998,30 years
146,French conquest of Algeria,1827,1857,30 years
147,Thirty Years' War,1618,1648,30 years[13]
148,Eritrean War of Independence,1 September 1961,29 May 1991,"29 years, 8 months, 3 weeks and 2 days"
149,Lord's Resistance Army insurgency,1987,Ongoing,35 years
150,Nagorno-Karabakh conflict,20 February 1988,Ongoing,"34 years, 3 months and 5 days"
151,Murid War,1830,1859,29 years
152,Portuguese Restoration War,1640,1668,28 years[14]
153,Insurgency in Aceh,4 December 1976,15 August 2005,"28 years, 8 months, 1 week and 4 days"
154,Intercommunal conflict in Mandatory Palestine,1 March 1920,15 May 1948,"28 years, 2 months and 2 weeks"
155,Nicaraguan Revolution,1962,1990,28 years
156,FULRO insurgency against Vietnam,20 September 1964,October 1992,28 years
157,Communist insurgency in Sarawak,December 1962,3 November 1990,"27 years, 11 months and 2 days"
158,Peloponnesian War,431 BC,404 BC,27 years[15]
159,New Zealand Wars,1845,1872,27 years
160,Insurgency in Jammu and Kashmir,1989,Ongoing,33 years
161,Abkhaz–Georgian conflict,1989,Ongoing,33 years
162,Georgian–Ossetian conflict,1989,Ongoing,33 years
163,Sectarianism in Pakistan,1989,Ongoing,33 years
164,Internal conflict in Bangladesh,1989,Ongoing,33 years
165,DHKP/C insurgency in Turkey,1 April 1990,Ongoing,"32 years, 1 month, 3 weeks and 3 days"
166,Somali Civil War,May 1991[nb 1],Ongoing,31 years
167,Oromo conflict,1992,Ongoing,30 years
168,Chiapas conflict,1994,Ongoing,28 years
169,Norman Conquest of Sicily,May 1061,February 1091,29 years and 9 months
170,Angolan Civil War,1975,2002,27 years[23]
171,Russo-Finnish wars,27 January 1918,19 September 1944,"26 years, 7 months, 3 weeks and 2 days"
172,Insurgency in Meghalaya,1996,Ongoing,26 years
173,Mughal–Maratha Wars,September 1681,May 1707,25 years and 8 months
174,Livonian War,1558,1583,25 years[24]
175,Sri Lankan Civil War,23 July 1983,18 May 2009,"25 years, 9 months, 3 weeks and 4 days"
176,Spanish American wars of independence,1808,1833,25 years
177,Indonesian occupation of East Timor,7 December 1975,31 October 1999,"23 years, 10 months, 3 weeks and 3 days"
178,South African Border war,26 August 1966,21 March 1990,24 years
179,Al-Qaeda insurgency in Yemen,1998,Ongoing,24 years
180,Communal conflicts in Nigeria,1998,Ongoing,24 years
181,First Punic War,264 BC,241 BC,23 years
182,Silesian Wars,1740,1763,23 years
183,Laotian Civil War,9 November 1953,2 December 1975,"22 years, 3 weeks and 2 days"
184,Second Sudanese Civil War,1983,2005,22 years
185,Occupation of Araucanía,1861,1883,22 years
186,Insurgency in Ogaden,"February 22, 1994","August 12, 2018","24 years, 5 months and 3 weeks"
187,Allied Democratic Forces insurgency,1996,Ongoing,26 years
188,Norman conquest of England,1066,1088,22 years
189,Kandyan Wars,1796,1818,22 years
190,Little War in Hungary,1530,1552,22 years
191,Chinese Civil War,1 August 1927,7 December 1949,22 years
192,Communist insurgency in Malaysia (1968–1989),17 June 1968,2 December 1989,"21 years, 5 months, 2 weeks and 1 day"
193,Second Afar insurgency,1995,"July 18, 2018",23 years
194,United States occupation of Nicaragua,1912,1933,21 years
195,Lazic War,541,562,21 years
196,Great Northern War,1700,1721,21 years[25]
197,Ottoman conquest of Habesh,1557,1578,21 years
198,Muslim conquest of Persia,633,654,21 years
199,Eumeralla Wars,1840,1860,20 years
200,War of the Sicilian Vespers,1282,1302,20 years
201,Somaliland campaign,1900,1920,20 years
202,Chittagong Hill Tracts conflict,1977,2 December 1997,20 years
203,War in Afghanistan (2001–2021),7 October 2001,15 August 2021,"19 years, 10 months, 1 week and 1 day"
204,Taliban insurgency,2002,15 August 2021,19 years
205,Vietnam War,1 November 1955,30 April 1975,"19 years, 5 months, 4 weeks and 1 day[26]"
206,Byzantine–Sasanian War of 572–591,572,591,19 years
207,United States occupation of Haiti,28 July 1915,1 August 1934,19 years and 4 days
208,Miao Rebellion (1854–1873),1854,1873,19 years
209,Gothic War,535,554,19 years[citation needed]
210,Jeroboam's Revolt,931 BC,913 BC,18 years
211,Communist insurgency in Thailand,1965,1983,18 years
212,Basmachi movement,1916,1934,18 years
213,Mahdist War,1881,1899,18 years
214,Second Punic War,218 BC,201 BC,17 years
215,Ethiopian Civil War,12 September 1974,4 June 1991,"16 years, 8 months, 3 weeks and 2 days"
