Date,Open,High,Low,Close,Adj Close,Volume
1991-04-03,100.000000,100.000000,100.000000,100.000000,100.000000,0
1991-04-04,99.500000,99.500000,99.500000,99.500000,99.500000,0
1991-04-05,99.010002,99.010002,99.010002,99.010002,99.010002,0
1991-04-08,98.080002,98.080002,98.080002,98.080002,98.080002,0
1991-04-09,97.540001,97.540001,97.540001,97.540001,97.540001,0
1991-04-10,97.040001,97.040001,97.040001,97.040001,97.040001,0
1991-04-11,96.540001,96.540001,96.540001,96.540001,96.540001,0
1991-04-12,96.059998,96.059998,96.059998,96.059998,96.059998,0
1991-04-15,95.129997,95.129997,95.129997,95.129997,95.129997,0
1991-04-16,94.660004,94.660004,94.660004,94.660004,94.660004,0
1991-04-17,94.199997,94.199997,94.199997,94.199997,94.199997,0
1991-04-18,93.730003,93.730003,93.730003,93.730003,93.730003,0
1991-04-19,93.269997,93.269997,93.269997,93.269997,93.269997,0
1991-04-22,92.339996,92.339996,92.339996,92.339996,92.339996,0
1991-04-23,91.870003,91.870003,91.870003,91.870003,91.870003,0
1991-04-24,91.419998,91.419998,91.419998,91.419998,91.419998,0
1991-04-25,90.970001,90.970001,90.970001,90.970001,90.970001,0
1991-04-26,90.519997,90.519997,90.519997,90.519997,90.519997,0
1991-04-29,89.620003,89.620003,89.620003,89.620003,89.620003,0
1991-04-30,89.169998,89.169998,89.169998,89.169998,89.169998,0
1991-05-01,null,null,null,null,null,null
1991-05-02,88.720001,88.720001,88.720001,88.720001,88.720001,0
1991-05-03,88.269997,88.269997,88.269997,88.269997,88.269997,0
1991-05-06,87.379997,87.379997,87.379997,87.379997,87.379997,0
1991-05-07,86.949997,86.949997,86.949997,86.949997,86.949997,0
1991-05-08,86.519997,86.519997,86.519997,86.519997,86.519997,0
1991-05-09,86.080002,86.080002,86.080002,86.080002,86.080002,0
1991-05-10,85.650002,85.650002,85.650002,85.650002,85.650002,0
1991-05-13,84.779999,84.779999,84.779999,84.779999,84.779999,0
1991-05-14,84.480003,84.480003,84.480003,84.480003,84.480003,0
1991-05-15,84.199997,84.199997,84.199997,84.199997,84.199997,0
1991-05-16,83.930000,83.930000,83.930000,83.930000,83.930000,0
1991-05-17,83.669998,83.669998,83.669998,83.669998,83.669998,0
1991-05-20,83.089996,83.089996,83.089996,83.089996,83.089996,0
1991-05-21,82.809998,82.809998,82.809998,82.809998,82.809998,0
1991-05-22,82.519997,82.519997,82.519997,82.519997,82.519997,0
1991-05-23,82.110001,82.110001,82.110001,82.110001,82.110001,0
1991-05-24,81.699997,81.699997,81.699997,81.699997,81.699997,0
1991-05-27,80.900002,80.900002,80.900002,80.900002,80.900002,0
1991-05-28,80.500000,80.500000,80.500000,80.500000,80.500000,0
1991-05-29,80.110001,80.110001,80.110001,80.110001,80.110001,0
1991-05-30,79.720001,79.720001,79.720001,79.720001,79.720001,0
1991-05-31,79.330002,79.330002,79.330002,79.330002,79.330002,0
1991-06-03,78.550003,78.550003,78.550003,78.550003,78.550003,0
1991-06-04,78.160004,78.160004,78.160004,78.160004,78.160004,0
1991-06-05,77.779999,77.779999,77.779999,77.779999,77.779999,0
1991-06-06,77.389999,77.389999,77.389999,77.389999,77.389999,0
1991-06-07,77.000000,77.000000,77.000000,77.000000,77.000000,0
1991-06-10,73.790001,73.790001,73.790001,73.790001,73.790001,0
1991-06-11,75.760002,75.760002,75.760002,75.760002,75.760002,0
1991-06-12,75.389999,75.389999,75.389999,75.389999,75.389999,0
1991-06-13,74.699997,74.699997,74.699997,74.699997,74.699997,0
1991-06-14,73.720001,73.720001,73.720001,73.720001,73.720001,0
1991-06-17,72.339996,72.339996,72.339996,72.339996,72.339996,0
1991-06-18,72.300003,72.300003,72.300003,72.300003,72.300003,0
1991-06-19,71.910004,71.910004,71.910004,71.910004,71.910004,0
1991-06-20,71.230003,71.230003,71.230003,71.230003,71.230003,0
1991-06-21,70.690002,70.690002,70.690002,70.690002,70.690002,0
1991-06-24,69.309998,69.309998,69.309998,69.309998,69.309998,0
1991-06-25,71.919998,71.919998,71.919998,71.919998,71.919998,0
1991-06-26,72.440002,72.440002,72.440002,72.440002,72.440002,0
1991-06-27,72.550003,72.550003,72.550003,72.550003,72.550003,0
1991-06-28,72.510002,72.510002,72.510002,72.510002,72.510002,0
1991-07-01,71.629997,71.629997,71.629997,71.629997,71.629997,0
1991-07-02,69.949997,69.949997,69.949997,69.949997,69.949997,0
1991-07-03,69.839996,69.839996,69.839996,69.839996,69.839996,0
1991-07-04,69.050003,69.050003,69.050003,69.050003,69.050003,0
1991-07-05,67.830002,67.830002,67.830002,67.830002,67.830002,0
1991-07-08,65.139999,65.139999,65.139999,65.139999,65.139999,0
1991-07-09,63.240002,63.240002,63.240002,63.240002,63.240002,0
1991-07-10,63.459999,63.459999,63.459999,63.459999,63.459999,0
1991-07-11,63.020000,63.020000,63.020000,63.020000,63.020000,0
1991-07-12,62.470001,62.470001,62.470001,62.470001,62.470001,0
1991-07-15,61.610001,61.610001,61.610001,61.610001,61.610001,0
1991-07-16,60.459999,60.459999,60.459999,60.459999,60.459999,0
1991-07-17,59.820000,59.820000,59.820000,59.820000,59.820000,0
1991-07-18,63.240002,63.240002,63.240002,63.240002,63.240002,0
1991-07-19,64.519997,64.519997,64.519997,64.519997,64.519997,0
1991-07-22,62.770000,62.770000,62.770000,62.770000,62.770000,0
1991-07-23,62.630001,62.630001,62.630001,62.630001,62.630001,0
1991-07-24,62.340000,62.340000,62.340000,62.340000,62.340000,0
1991-07-25,61.869999,61.869999,61.869999,61.869999,61.869999,0
1991-07-26,60.900002,60.900002,60.900002,60.900002,60.900002,0
1991-07-29,60.299999,60.299999,60.299999,60.299999,60.299999,0
1991-07-30,60.060001,60.060001,60.060001,60.060001,60.060001,0
1991-07-31,60.139999,60.139999,60.139999,60.139999,60.139999,0
1991-08-01,60.169998,60.169998,60.169998,60.169998,60.169998,0
1991-08-02,60.110001,60.110001,60.110001,60.110001,60.110001,0
1991-08-05,60.220001,60.220001,60.220001,60.220001,60.220001,0
1991-08-06,59.980000,59.980000,59.980000,59.980000,59.980000,0
1991-08-07,60.020000,60.020000,60.020000,60.020000,60.020000,0
1991-08-08,59.700001,59.700001,59.700001,59.700001,59.700001,0
1991-08-09,59.250000,59.250000,59.250000,59.250000,59.250000,0
1991-08-12,59.180000,59.180000,59.180000,59.180000,59.180000,0
1991-08-13,58.779999,58.779999,58.779999,58.779999,58.779999,0
1991-08-14,58.599998,58.599998,58.599998,58.599998,58.599998,0
1991-08-15,58.110001,58.110001,58.110001,58.110001,58.110001,0
1991-08-16,58.880001,58.880001,58.880001,58.880001,58.880001,0
1991-08-19,51.209999,51.209999,51.209999,51.209999,51.209999,0
1991-08-20,50.349998,50.349998,50.349998,50.349998,50.349998,0
1991-08-21,50.040001,50.040001,50.040001,50.040001,50.040001,0
1991-08-22,49.180000,49.180000,49.180000,49.180000,49.180000,0
1991-08-23,48.950001,48.950001,48.950001,48.950001,48.950001,0
1991-08-26,49.580002,49.580002,49.580002,49.580002,49.580002,0
1991-08-27,49.060001,49.060001,49.060001,49.060001,49.060001,0
1991-08-28,49.060001,49.060001,49.060001,49.060001,49.060001,0
1991-08-29,48.990002,48.990002,48.990002,48.990002,48.990002,0
1991-08-30,48.830002,48.830002,48.830002,48.830002,48.830002,0
1991-09-02,48.520000,48.520000,48.520000,48.520000,48.520000,0
1991-09-03,48.290001,48.290001,48.290001,48.290001,48.290001,0
1991-09-04,47.959999,47.959999,47.959999,47.959999,47.959999,0
1991-09-05,47.349998,47.349998,47.349998,47.349998,47.349998,0
1991-09-06,45.660000,45.660000,45.660000,45.660000,45.660000,0
1991-09-09,46.250000,46.250000,46.250000,46.250000,46.250000,0
1991-09-10,46.400002,46.400002,46.400002,46.400002,46.400002,0
1991-09-11,47.070000,47.070000,47.070000,47.070000,47.070000,0
1991-09-12,47.200001,47.200001,47.200001,47.200001,47.200001,0
1991-09-13,47.150002,47.150002,47.150002,47.150002,47.150002,0
1991-09-16,46.619999,46.619999,46.619999,46.619999,46.619999,0
1991-09-17,46.480000,46.480000,46.480000,46.480000,46.480000,0
1991-09-18,46.320000,46.320000,46.320000,46.320000,46.320000,0
1991-09-19,46.060001,46.060001,46.060001,46.060001,46.060001,0
1991-09-20,45.980000,45.980000,45.980000,45.980000,45.980000,0
1991-09-23,46.040001,46.040001,46.040001,46.040001,46.040001,0
1991-09-24,45.810001,45.810001,45.810001,45.810001,45.810001,0
1991-09-25,46.070000,46.070000,46.070000,46.070000,46.070000,0
1991-09-26,46.180000,46.180000,46.180000,46.180000,46.180000,0
1991-09-27,46.500000,46.500000,46.500000,46.500000,46.500000,0
1991-09-30,null,null,null,null,null,null
1991-10-01,null,null,null,null,null,null
1991-10-02,null,null,null,null,null,null
1991-10-03,49.480000,49.480000,49.480000,49.480000,49.480000,0
1991-10-04,49.040001,49.040001,49.040001,49.040001,49.040001,0
1991-10-07,55.099998,55.099998,55.099998,55.099998,55.099998,0
1991-10-08,65.190002,65.190002,65.190002,65.190002,65.190002,0
1991-10-09,77.760002,77.760002,77.760002,77.760002,77.760002,0
1991-10-10,70.809998,70.809998,70.809998,70.809998,70.809998,0
1991-10-11,73.089996,73.089996,73.089996,73.089996,73.089996,0
1991-10-14,75.669998,75.669998,75.669998,75.669998,75.669998,0
1991-10-15,72.239998,72.239998,72.239998,72.239998,72.239998,0
1991-10-16,71.059998,71.059998,71.059998,71.059998,71.059998,0
1991-10-17,73.589996,73.589996,73.589996,73.589996,73.589996,0
1991-10-18,74.180000,74.180000,74.180000,74.180000,74.180000,0
1991-10-21,73.730003,73.730003,73.730003,73.730003,73.730003,0
1991-10-22,72.449997,72.449997,72.449997,72.449997,72.449997,0
1991-10-23,73.160004,73.160004,73.160004,73.160004,73.160004,0
1991-10-24,73.889999,73.889999,73.889999,73.889999,73.889999,0
1991-10-25,74.250000,74.250000,74.250000,74.250000,74.250000,0
1991-10-28,77.809998,77.809998,77.809998,77.809998,77.809998,0
1991-10-29,79.919998,79.919998,79.919998,79.919998,79.919998,0
1991-10-30,80.809998,80.809998,80.809998,80.809998,80.809998,0
1991-10-31,86.180000,86.180000,86.180000,86.180000,86.180000,0
1991-11-01,92.839996,92.839996,92.839996,92.839996,92.839996,0
1991-11-04,102.870003,102.870003,102.870003,102.870003,102.870003,0
1991-11-05,103.459999,103.459999,103.459999,103.459999,103.459999,0
1991-11-06,99.059998,99.059998,99.059998,99.059998,99.059998,0
1991-11-07,101.720001,101.720001,101.720001,101.720001,101.720001,0
1991-11-08,103.680000,103.680000,103.680000,103.680000,103.680000,0
1991-11-11,null,null,null,null,null,null
1991-11-12,128.389999,128.389999,128.389999,128.389999,128.389999,0
1991-11-13,131.839996,131.839996,131.839996,131.839996,131.839996,0
1991-11-14,136.940002,136.940002,136.940002,136.940002,136.940002,0
1991-11-15,131.619995,131.619995,131.619995,131.619995,131.619995,0
1991-11-18,104.199997,104.199997,104.199997,104.199997,104.199997,0
1991-11-19,123.169998,123.169998,123.169998,123.169998,123.169998,0
1991-11-20,122.120003,122.120003,122.120003,122.120003,122.120003,0
1991-11-21,116.099998,116.099998,116.099998,116.099998,116.099998,0
1991-11-22,119.930000,119.930000,119.930000,119.930000,119.930000,0
1991-11-25,114.489998,114.489998,114.489998,114.489998,114.489998,0
1991-11-26,106.739998,106.739998,106.739998,106.739998,106.739998,0
1991-11-27,112.419998,112.419998,112.419998,112.419998,112.419998,0
1991-11-28,107.500000,107.500000,107.500000,107.500000,107.500000,0
1991-11-29,103.379997,103.379997,103.379997,103.379997,103.379997,0
1991-12-02,100.029999,100.029999,100.029999,100.029999,100.029999,0
1991-12-03,104.339996,104.339996,104.339996,104.339996,104.339996,0
1991-12-04,104.870003,104.870003,104.870003,104.870003,104.870003,0
1991-12-05,101.050003,101.050003,101.050003,101.050003,101.050003,0
1991-12-06,102.699997,102.699997,102.699997,102.699997,102.699997,0
1991-12-09,104.559998,104.559998,104.559998,104.559998,104.559998,0
1991-12-10,105.739998,105.739998,105.739998,105.739998,105.739998,0
1991-12-11,105.040001,105.040001,105.040001,105.040001,105.040001,0
1991-12-12,103.180000,103.180000,103.180000,103.180000,103.180000,0
